dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,label
3e-06,0.3597621791961129,0.2664656366790467,0.45188281271223607,2,0,114,0,333333.3215,254,0,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,35,2,18,18,18,35,0,0,0,18,35,0,1
4e-06,0.3597621791961129,0.2664656366790467,0.45188281271223607,2,0,114,0,250000.0006,254,0,114000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,7,2,7,7,4,7,0,0,0,7,7,0,1
4e-06,0.0005122771885296481,0.5484509436378666,0.45188281271223607,2,0,200,0,250000.0006,254,0,200000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,14,2,4,4,4,4,0,0,0,11,14,0,1
0.874942,0.4775083148020941,0.10482666014677518,0.4547003372491491,60,14,68199,612,83.434101,254,252,613188.0625,5202.630371,27,1,14.591627,63.407922,1526.290325,97.276484,255,1516200001,1237225352,255,0.10498,0.050635,0.054345,1137,44,1,0,2,1,23,1,1,2,0,0,1,1,2,0,0
9e-06,0.0005122771885296481,0.5484509436378666,0.45188281271223607,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,2,2,2,4,0,0,0,2,4,0,1
59.977112,0.4775083148020941,0.5484509436378666,0.07813779480193889,772,390,370560,16770,19.357384,254,252,49362.83203,2231.117676,386,0,77.844442,154.078391,3679.166976,159.734406,255,2264197785,463094449,255,0.12066,0.080372,0.040288,480,43,0,0,9,0,2,2,2,2,0,0,0,4,2,0,1
9e-06,0.3597621791961129,0.2664656366790467,0.45188281271223607,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,42,2,33,33,17,42,0,0,0,33,42,0,1
0.782939,0.4775083148020941,0.10482666014677518,0.4547003372491491,10,10,838,1186,24.267535,62,252,7714.521484,10912.72754,2,2,86.993222,77.940664,5316.951765,123.94832,255,2911363715,1728011970,255,0.147432,0.080723,0.066709,84,119,1,143,4,1,1,1,1,4,0,0,1,1,4,0,1
2e-06,0.3597621791961129,0.2664656366790467,0.45188281271223607,2,0,114,0,500000.0013,254,0,228000000.0,0.0,0,0,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,21,2,19,18,18,21,0,0,0,20,20,0,1
0.535778,0.4775083148020941,0.5484509436378666,0.4547003372491491,10,6,2322,268,27.996671,254,252,31206.95508,3344.668945,2,1,55.680222,89.156,2749.31304,125.241914,255,2912130702,3246209744,255,0.152507,0.089995,0.062512,232,45,0,0,9,1,1,1,1,3,0,0,0,3,3,0,0
3e-06,0.3597621791961129,0.5484509436378666,0.45188281271223607,2,0,168,0,333333.3215,254,0,224000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,1
1e-05,0.0005122771885296481,0.5484509436378666,0.45188281271223607,2,0,200,0,100000.0025,254,0,80000000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,2,2,2,5,0,0,0,2,4,0,1
0.626618,0.4775083148020941,0.026813053754176804,0.4547003372491491,54,24,48101,1846,122.881878,62,252,602740.375,22597.49805,24,8,11.812019,26.724738,908.809508,32.504268,255,3731291986,2683577747,255,0.022145,0.01194,0.010205,891,77,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1
0.083903,0.4775083148020941,0.5484509436378666,0.4547003372491491,62,64,3702,48814,1489.815625,31,29,347353.5,4581671.5,7,24,1.393183,1.344903,86.978828,2.385106,255,444033842,444311243,255,0.000632,0.00051,0.000122,60,763,0,0,3,0,4,1,1,1,0,0,0,2,4,0,0
0.001335,0.3597621791961129,0.2664656366790467,0.07813779480193889,2,2,146,178,2247.190949,31,29,437453.1563,533333.3125,0,0,0.007,0.002,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,1,0,1,1,1,1,0,0,0,2,2,0,0
5e-06,0.3597621791961129,0.2664656366790467,0.45188281271223607,2,0,114,0,200000.0051,254,0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,14,2,14,14,14,14,0,0,0,16,14,0,1
1e-05,0.3597621791961129,0.5484509436378666,0.45188281271223607,2,0,1034,0,100000.0025,254,0,413600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,517,0,0,0,13,2,3,3,1,12,0,0,0,3,12,0,0
7e-06,0.3597621791961129,0.2664656366790467,0.45188281271223607,2,0,114,0,142857.1409,254,0,65142856.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,26,2,11,9,9,26,0,0,0,9,26,0,1
5e-06,0.06053796866571197,0.5484509436378666,0.45188281271223607,2,0,200,0,200000.0051,254,0,160000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,7,2,5,4,4,10,0,0,0,6,7,0,1
5e-06,0.3597621791961129,0.2664656366790467,0.45188281271223607,2,0,114,0,200000.0051,254,0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,27,2,21,21,21,27,0,0,0,21,27,0,1
34.55444,0.4775083148020941,0.5484509436378666,0.4547003372491491,36,22,19126,1748,1.649571,254,252,4305.09082,386.404755,31,6,987.269686,1642.46575,165113.5689,6536.233,255,4161793378,4293862120,255,0.061578,0.038912,0.022666,531,79,0,0,6,1,2,2,2,3,0,0,0,2,3,0,1
0.970712,0.4775083148020941,0.5484509436378666,0.4547003372491491,10,8,564,354,17.512918,254,252,4186.617676,2554.825684,2,1,104.565222,128.76057,7064.293779,186.384625,255,710816205,1256863757,255,0.14693,0.069381,0.077549,56,44,0,0,1,1,2,1,1,1,0,0,0,1,7,0,1
1.263705,0.4775083148020941,0.5484509436378666,0.4547003372491491,12,8,1074,754,15.035154,254,252,6235.632324,4178.19043,3,2,111.313362,165.437141,6143.823169,247.333937,255,23742405,3926013179,255,0.194067,0.105637,0.08843,90,94,0,0,5,1,1,3,1,2,0,0,0,3,2,0,0
8e-06,0.3597621791961129,0.2664656366790467,0.45188281271223607,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,24,2,12,12,12,24,0,0,0,12,24,0,1
9e-06,0.3597621791961129,0.2664656366790467,0.45188281271223607,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,15,2,6,6,6,15,0,0,0,6,15,0,1
0.922713,0.4775083148020941,0.01932682120361854,0.4547003372491491,14,12,798,682,27.094016,254,252,6424.533203,5427.473145,4,4,69.017925,76.838094,3370.944401,87.922219,255,1206332668,377740666,255,0.156344,0.077487,0.078857,57,57,0,0,3,1,1,1,1,3,1,1,0,2,3,0,0
0.994487,0.4775083148020941,0.10482666014677518,0.4547003372491491,16,8,11248,354,23.127502,254,252,84827.65625,2493.748047,5,1,66.299133,132.414719,4705.452206,263.294594,255,2480270272,453861168,255,0.138326,0.052152,0.086174,703,44,1,0,1,1,3,1,1,1,0,0,1,1,2,0,1
1.72013,0.3597621791961129,0.5484509436378666,0.07813779480193889,4,4,520,304,4.06946,31,29,1813.816406,1060.38501,0,0,281.332344,366.676344,397.856938,518.555813,0,0,0,0,0.0,0.0,0.0,130,76,0,0,5,0,2,1,1,2,0,0,0,3,10,0,0
9e-06,0.3597621791961129,0.2664656366790467,0.45188281271223607,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,26,2,17,16,16,26,0,0,0,16,26,0,1
9e-06,0.3597621791961129,0.2664656366790467,0.45188281271223607,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,29,2,17,17,17,29,0,0,0,17,29,0,1
5e-06,0.3597621791961129,0.2664656366790467,0.45188281271223607,2,0,114,0,200000.0051,254,0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,33,2,33,33,17,33,0,0,0,33,33,0,1
1e-06,0.3597621791961129,0.2664656366790467,0.45188281271223607,2,0,114,0,1000000.003,254,0,456000000.0,0.0,0,0,0.001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,15,2,15,15,15,15,0,0,0,15,15,0,1
9e-06,0.3597621791961129,0.2664656366790467,0.45188281271223607,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,37,2,13,13,7,37,0,0,0,13,37,0,1
0.622592,0.4775083148020941,0.5484509436378666,0.4547003372491491,10,6,726,268,24.092826,254,252,8403.578125,2878.289551,2,1,69.120111,103.393797,3592.842709,167.615844,255,262161061,3575769695,255,0.203502,0.105621,0.097881,73,45,0,0,2,1,1,1,1,2,0,0,0,1,2,0,0
3.256565,0.4775083148020941,0.5484509436378666,0.4547003372491491,24,42,1248,35448,19.959681,62,252,2938.064941,85007.35938,6,19,141.589787,77.164951,8666.001863,6590.527558,255,1857084889,655986629,255,0.177495,0.092141,0.085354,52,844,0,0,3,1,4,1,1,1,0,0,0,4,8,0,1
33.221981,0.4775083148020941,0.5484509436378666,0.4547003372491491,20,16,3116,708,1.053519,254,252,713.021912,159.894135,6,1,1748.525368,2209.758,233747.0969,8031.7525,255,3318487229,1696445330,255,0.108375,0.05779,0.050585,156,44,0,0,12,1,4,4,2,12,0,0,0,5,12,0,1
0.823529,0.4775083148020941,0.005929996546009865,0.4547003372491491,20,22,978,4732,49.785739,62,252,9034.290039,43879.44922,7,9,43.343631,38.841095,2057.950459,1931.459362,255,1888126783,524250760,255,0.051874,0.007122,0.044752,49,215,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1
0.578488,0.4775083148020941,0.5484509436378666,0.4547003372491491,10,8,588,354,29.386954,254,252,7329.452148,4287.038086,2,1,64.170111,76.619289,3570.159576,146.588641,255,1095459324,167571215,255,0.060127,0.042145,0.017982,59,44,0,0,2,1,1,1,1,1,0,0,0,15,1,0,1
1e-05,0.3597621791961129,0.2664656366790467,0.45188281271223607,2,0,114,0,100000.0025,254,0,45600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,12,2,12,12,12,12,0,0,0,12,12,0,1
9e-06,0.3597621791961129,0.5484509436378666,0.45188281271223607,2,0,168,0,111111.1072,254,0,74666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,4,2,1,1,1,1,0,0,0,1,1,0,1
6e-06,0.3597621791961129,0.5484509436378666,0.45188281271223607,2,0,168,0,166666.6608,254,0,112000000.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,2,1,1,1,1,0,0,0,1,2,0,1
1e-05,0.06053796866571197,0.5484509436378666,0.45188281271223607,2,0,200,0,100000.0025,254,0,80000000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,8,2,3,2,2,3,0,0,0,6,7,0,1
0.004311,0.3597621791961129,0.5484509436378666,0.07813779480193889,4,4,568,312,1623.753191,31,29,790535.8125,434238.0,0,0,1.144333,0.957,1.609848,1.343503,0,0,0,0,0.0,0.0,0.0,142,78,0,0,9,0,3,1,1,3,0,0,0,5,11,0,0
0.532194,0.4775083148020941,0.5484509436378666,0.4547003372491491,22,10,17782,832,58.249433,254,252,255155.0625,11259.05176,8,2,24.311763,53.400777,1838.842698,76.91732,255,526889171,2902255463,255,0.090853,0.051577,0.039276,808,83,0,0,7,1,1,1,1,1,0,0,0,1,8,0,1
2.273561,0.4775083148020941,0.5484509436378666,0.4547003372491491,60,318,2836,397846,165.819171,62,252,9813.679688,1395502.5,6,157,38.534932,7.067104,1844.149545,776.591653,255,3177178064,3948487846,255,0.072717,0.03892,0.033797,47,1251,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1
1.1e-05,0.3597621791961129,0.5484509436378666,0.45188281271223607,2,0,1064,0,90909.0902,254,0,386909088.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,532,0,0,0,31,2,10,10,1,31,0,0,0,10,31,0,0
0.53365,0.4775083148020941,0.5484509436378666,0.4547003372491491,12,8,1058,760,35.603861,254,252,14541.36621,9969.081055,3,2,47.152001,61.734855,2417.361319,82.188438,255,570886319,2076429608,255,0.17547,0.101502,0.073968,88,95,0,0,8,1,2,1,1,2,0,0,0,2,7,0,1
5e-06,0.0005122771885296481,0.5484509436378666,0.45188281271223607,2,0,200,0,200000.0051,254,0,160000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,9,2,5,3,3,13,0,0,0,5,9,0,1
0.219292,0.4775083148020941,0.5484509436378666,0.4547003372491491,10,6,1918,268,68.401948,254,252,63002.75391,8171.75293,2,1,24.365778,41.175199,1260.764528,77.206711,255,2831855051,2434529112,255,0.05238,0.007355,0.045025,192,45,0,0,1,1,1,1,1,1,0,0,0,1,2,0,1
0.473761,0.4775083148020941,0.5484509436378666,0.4547003372491491,10,6,534,268,31.661534,254,252,8122.23877,3782.498047,2,1,45.091444,86.851203,2269.656053,122.180414,255,3435158459,1103925871,255,0.121728,0.039496,0.082232,53,45,0,0,3,1,1,1,1,3,0,0,0,1,3,0,0
0.893991,0.4775083148020941,0.020921866086085854,0.4547003372491491,8,8,364,690,16.778693,62,252,2854.61499,5404.976074,1,2,127.713004,110.926859,8234.925839,228.060719,255,2182224795,2537611280,255,0.168248,0.091312,0.076936,46,86,0,0,1,1,3,1,1,2,0,0,0,2,1,0,1
5e-06,0.3597621791961129,0.2664656366790467,0.45188281271223607,2,0,114,0,200000.0051,254,0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,17,2,16,16,16,17,0,0,0,16,17,0,1
1e-05,0.3597621791961129,0.5484509436378666,0.45188281271223607,2,0,1518,0,100000.0025,254,0,607200000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,759,0,0,0,39,2,6,6,1,39,0,0,0,7,39,0,0
3e-06,0.3597621791961129,0.2664656366790467,0.45188281271223607,2,0,114,0,333333.3215,254,0,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,22,2,5,5,5,22,0,0,0,5,22,0,1
0.974929,0.4775083148020941,0.5484509436378666,0.07813779480193889,6,2,978,86,7.18001,62,252,6687.666504,352.846222,2,1,194.9858,0.009,12004.97385,0.0,255,1134564184,1837366877,255,0.837849,0.431274,0.406575,163,43,0,0,2,3,1,1,1,2,0,0,0,1,2,0,0
0.788861,0.4775083148020941,0.5484509436378666,0.4547003372491491,10,8,2050,354,21.550058,254,252,18710.52148,3143.773193,2,1,87.619222,105.886711,4824.335536,207.885328,255,106470127,562606999,255,0.140848,0.047653,0.093195,205,44,0,0,4,1,2,2,2,4,0,0,0,2,4,0,1
9e-06,0.3597621791961129,0.2664656366790467,0.45188281271223607,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,31,2,16,16,16,31,0,0,0,16,31,0,1
0.801094,0.4775083148020941,0.10482666014677518,0.4547003372491491,10,8,778,354,21.22098,254,252,7000.426758,3095.766602,2,1,89.010444,111.041289,6457.459069,157.945531,255,690814436,2924790694,255,0.077193,0.023113,0.05408,78,44,1,0,1,1,1,1,1,1,0,0,1,2,1,0,1
0.514188,0.4775083148020941,0.5484509436378666,0.4547003372491491,10,6,756,268,29.17221,254,252,10595.34668,3485.106689,2,1,55.166667,83.563,2828.78967,126.165164,255,2088345979,2940988590,255,0.134473,0.096365,0.038108,76,45,0,0,5,1,2,2,1,4,0,0,0,3,4,0,1
0.296076,0.4775083148020941,0.020921866086085854,0.4547003372491491,8,8,364,738,50.662668,62,252,8619.408203,17454.97852,1,2,42.296571,37.547855,2528.950337,75.980977,255,83758827,3903352846,255,0.083375,0.028748,0.054627,46,92,0,0,1,1,2,1,1,2,0,0,0,2,1,0,1
9e-06,0.3597621791961129,0.2664656366790467,0.45188281271223607,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,18,2,18,18,18,18,0,0,0,19,18,0,1
0.002657,0.3597621791961129,0.5484509436378666,0.07813779480193889,4,4,528,304,2634.550269,31,29,1192322.125,686488.5,0,0,0.76,0.543333,1.064196,0.765561,0,0,0,0,0.0,0.0,0.0,132,76,0,0,3,0,1,1,1,1,0,0,0,1,7,0,0
0.001037,0.3597621791961129,0.2664656366790467,0.07813779480193889,2,2,146,178,2892.960519,31,29,563163.0,686595.9375,0,0,0.004,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,2,0,2,1,1,1,0,0,0,1,1,0,0
9e-06,0.3597621791961129,0.2664656366790467,0.45188281271223607,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,24,2,17,17,17,24,0,0,0,17,24,0,1
4e-06,0.3597621791961129,0.2664656366790467,0.45188281271223607,2,0,114,0,250000.0006,254,0,114000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,32,2,23,23,11,32,0,0,0,23,32,0,1
9e-06,0.06053796866571197,0.5484509436378666,0.45188281271223607,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,1,1,1,5,0,0,0,2,5,0,1
0.023895,0.4775083148020941,0.026813053754176804,0.4547003372491491,52,42,37372,3380,3892.027755,31,29,12271689.0,1104833.625,18,8,0.47088,0.569024,29.595659,0.934588,255,2431027857,2432019709,255,0.000675,0.000562,0.000113,719,80,0,0,1,0,3,1,1,3,0,0,0,4,2,0,0
0.001036,0.3597621791961129,0.2664656366790467,0.07813779480193889,2,2,132,164,2895.752973,31,29,509652.5313,633204.625,0,0,0.009,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,66,82,0,0,6,0,6,3,1,6,0,0,0,11,3,0,0
9e-06,0.3597621791961129,0.2664656366790467,0.45188281271223607,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,16,2,16,16,16,16,0,0,0,17,16,0,1
1.838596,0.4775083148020941,0.5484509436378666,0.4547003372491491,12,10,1072,816,11.421759,254,252,4277.176758,3198.092529,3,2,167.145097,188.873562,9346.430115,245.485391,255,3671702272,1664019449,255,0.226656,0.138078,0.088578,89,82,0,0,2,1,1,1,1,1,0,0,0,1,1,0,1
